Price,Close,High,Low,Open,Volume
Ticker,^BSESN,^BSESN,^BSESN,^BSESN,^BSESN
Date,,,,,
2019-01-02,35891.51953125,36236.69921875,35734.01171875,36198.12890625,14705400
2019-01-03,35513.7109375,35999.66015625,35475.5703125,35934.5,17400
2019-01-04,35695.1015625,35744.19921875,35382.078125,35590.7890625,15855600
2019-01-07,35850.16015625,36076.94921875,35809.23046875,35971.1796875,14831200
2019-01-08,35980.9296875,36037.3515625,35753.94921875,35964.62109375,16218000
2019-01-09,36212.91015625,36250.5390625,35863.2890625,36181.37109375,20300
2019-01-10,36106.5,36269.30859375,36070.76171875,36258.0,17331500
2019-01-11,36009.83984375,36214.26171875,35840.6015625,36191.87109375,18100
2019-01-14,35853.55859375,36124.94140625,35691.75,36113.26953125,24100
2019-01-15,36318.328125,36349.30859375,35950.078125,35950.078125,24000
2019-01-16,36321.2890625,36462.03125,36278.609375,36370.73828125,16400
2019-01-17,36374.078125,36468.421875,36170.80078125,36413.6015625,20500
2019-01-18,36386.609375,36469.98046875,36218.328125,36417.578125,20800
2019-01-21,36578.9609375,36701.03125,36351.76953125,36467.12109375,18700
2019-01-22,36444.640625,36650.46875,36282.9296875,36649.921875,17300
2019-01-23,36108.46875,36521.46875,36037.8984375,36494.12109375,14300
2019-01-24,36195.1015625,36258.28125,35996.6796875,36146.55078125,23100
2019-01-25,36025.5390625,36474.48046875,35953.1484375,36245.76953125,23000
2019-01-28,35656.69921875,36124.26171875,35565.1484375,36099.62109375,15000
2019-01-29,35592.5,35734.140625,35375.51171875,35716.71875,16670300
2019-01-30,35591.25,35850.41015625,35490.96875,35819.671875,18974200
2019-01-31,36256.69140625,36278.12890625,35740.0703125,35805.51171875,18611400
2019-02-01,36469.4296875,36778.140625,36221.3203125,36311.73828125,31815100
2019-02-04,36582.73828125,36622.76953125,36225.48046875,36456.21875,15600
2019-02-05,36616.80859375,36727.828125,36495.828125,36573.0390625,14104800
2019-02-06,36975.23046875,37005.25,36680.87890625,36714.5390625,13931600
2019-02-07,36971.08984375,37172.1796875,36898.80078125,37026.55859375,14600
2019-02-08,36546.48046875,36885.578125,36480.62109375,36873.58984375,21600
2019-02-11,36395.03125,36588.41015625,36300.48046875,36585.5,19200
2019-02-12,36153.62109375,36465.3984375,36113.91015625,36405.71875,12200
2019-02-14,35876.21875,36109.1015625,35799.421875,36065.078125,32500
2019-02-15,35808.94921875,36022.5703125,35510.96875,35985.6796875,23000
2019-02-18,35498.44140625,35912.44140625,35470.76171875,35831.1796875,15900
2019-02-19,35352.609375,35776.0390625,35287.16015625,35543.23828125,10100
2019-02-20,35756.26171875,35797.109375,35469.48828125,35564.9296875,12500
2019-02-21,35898.3515625,35983.0703125,35707.2890625,35837.0,11400
2019-02-22,35871.48046875,35941.69140625,35795.7890625,35906.01171875,18400
2019-02-25,36213.37890625,36242.1796875,35901.05859375,35983.80078125,11800
2019-02-26,35973.7109375,36172.51953125,35714.16015625,35975.75,17900
2019-02-27,35905.4296875,36371.109375,35735.328125,36138.828125,19300
2019-02-28,35867.44140625,36085.8515625,35829.1484375,36025.71875,11900
2019-03-01,36063.80859375,36140.671875,35952.41015625,36018.48828125,16700
2019-03-05,36442.5390625,36457.44140625,35926.94140625,36141.0703125,21200
2019-03-06,36636.1015625,36666.46875,36456.8203125,36544.859375,15900
2019-03-07,36725.421875,36830.25,36590.87890625,36744.01953125,16800
2019-03-08,36671.4296875,36753.58984375,36592.9296875,36753.58984375,14600
2019-03-11,37054.1015625,37106.19140625,36726.390625,36741.5703125,14400
2019-03-12,37535.66015625,37586.62890625,37230.8515625,37249.6484375,19500
2019-03-13,37752.171875,37797.2890625,37478.87109375,37608.2890625,21000
2019-03-14,37754.890625,37907.78125,37693.69140625,37840.640625,15600
2019-03-15,38024.3203125,38254.76953125,37760.23046875,37760.23046875,16300
2019-03-18,38095.0703125,38369.58984375,37952.1015625,38132.9609375,15900
2019-03-19,38363.46875,38396.05859375,38078.23046875,38218.58984375,15100
2019-03-20,38386.75,38489.80859375,38316.2109375,38433.859375,15600
2019-03-22,38164.609375,38564.7109375,38089.359375,38452.46875,18200
2019-03-25,37808.91015625,38016.76171875,37667.3984375,38016.76171875,17000
2019-03-26,38233.41015625,38297.69921875,37800.078125,37886.2890625,14600
