Price,Close,High,Low,Open,Volume
Ticker,BAJAJ-AUTO.NS,BAJAJ-AUTO.NS,BAJAJ-AUTO.NS,BAJAJ-AUTO.NS,BAJAJ-AUTO.NS
Date,BAJAJ-AUTO.NS,BAJAJ-AUTO.NS,BAJAJ-AUTO.NS,BAJAJ-AUTO.NS,BAJAJ-AUTO.NS
2019-01-01,2288.53466796875,2302.593295611238,2270.3634491301227,2295.5430807286084,304150
2019-01-02,2259.451904296875,2305.8243848735474,2246.8620905656517,2282.952889928492,599274
2019-01-03,2267.2998046875,2286.184526682524,2251.142875869535,2257.857443689988,310511
2019-01-04,2294.871337890625,2301.4180823897386,2267.9292579041476,2277.9170954069114,362393
2019-01-07,2231.37646484375,2299.7391064226463,2220.003626455438,2299.6550923735444,462215
2019-01-08,2261.84375,2266.1661701744847,2212.0299783314276,2238.46858365013,486654
2019-01-09,2263.564453125,2274.5596388793483,2243.085105131018,2268.264732129682,285560
2019-01-10,2287.401123046875,2290.5065691680848,2249.3798480653963,2266.166264842004,277585
2019-01-11,2283.750244140625,2298.648190652297,2266.8800163903024,2289.6674976812496,259834
2019-01-14,2265.453125,2305.7825387830417,2246.4005798727294,2281.2744073247886,170937
2019-01-15,2287.86279296875,2295.3746735019554,2270.3628714952565,2270.3628714952565,169721
2019-01-16,2280.812744140625,2296.38218922033,2271.2025599525637,2296.38218922033,218357
2019-01-17,2291.05224609375,2299.571476300247,2266.8379607234187,2284.631523080151,230784
2019-01-18,2283.58251953125,2305.195034417928,2263.354802274314,2300.578769102327,269686
2019-01-21,2253.241455078125,2286.9401145012757,2240.9872853356846,2286.9401145012757,303893
2019-01-22,2256.388671875,2261.9700745094983,2224.2846439158207,2253.57686458553,273441
2019-01-23,2244.42822265625,2265.3272322373346,2236.87433414564,2265.3272322373346,205104
2019-01-24,2225.585205078125,2252.7373184332646,2211.6105939164127,2252.7373184332646,183566
2019-01-25,2204.3505859375,2242.665504070172,2194.026897612195,2200.9512952201962,304062
2019-01-28,2153.320068359375,2210.771550782781,2136.071980539931,2207.3722596937528,332409
2019-01-29,2155.082275390625,2179.8422424975083,2117.145010839833,2151.1795150827784,424856
2019-01-30,2098.05029296875,2227.012064838653,2085.712317425597,2157.8939107047127,2450943
2019-01-31,2144.087158203125,2157.054624594194,2065.6526642951894,2099.267301032647,1102133
2019-02-01,2184.542724609375,2240.987061649037,2134.3932950462554,2148.661751993084,1028186
2019-02-04,2217.90576171875,2243.001377871269,2153.2360371258987,2190.6278289823795,817279
2019-02-05,2275.10498046875,2282.9527123824914,2220.0036486219446,2221.682290322226,469089
2019-02-06,2325.044921875,2337.5089203451907,2278.042947175061,2278.756451970267,495030
2019-02-07,2395.08642578125,2410.5298498179295,2326.7235681648567,2337.508924701579,983573
2019-02-08,2393.23974609375,2416.489101030581,2376.2855033816186,2393.7434206436774,1004870
2019-02-11,2395.08642578125,2408.851207861232,2366.0878449968272,2392.064788294255,712787
2019-02-12,2377.2509765625,2395.4221947080787,2366.4656194742215,2388.371980094344,280913
2019-02-14,2369.4873046875,2413.0479846010926,2359.5412684208077,2366.885327504376,372416
2019-02-15,2371.879150390625,2392.0648615203113,2354.3374233710847,2371.2076526049204,867192
2019-02-18,2344.642822265625,2379.47463795348,2323.072317147417,2375.2780336537385,296237
2019-02-19,2339.901123046875,2371.0818161150937,2331.2140687644855,2350.938112190576,185862
2019-02-20,2328.86376953125,2348.419988401406,2297.43124133372,2340.0267790075486,428139
2019-02-21,2361.80712890625,2375.1942569778607,2309.5594001528702,2324.9190144074164,281964
2019-02-22,2364.2412109375,2389.546654662086,2351.65139716162,2371.0815944574615,431535
2019-02-25,2390.00830078125,2396.0093633291654,2364.2829919151372,2364.367005971159,322524
2019-02-26,2399.870849609375,2408.8515443497367,2360.1709208053867,2378.635984908416,369292
2019-02-27,2446.36865234375,2468.442833592618,2408.8510480825616,2408.8510480825616,861033
2019-02-28,2434.534423828125,2462.399838320337,2403.8151951651976,2459.2103777353454,1246854
2019-03-01,2403.395751953125,2470.1217733536046,2397.2686674961437,2445.781463660348,1008494
2019-03-05,2437.178466796875,2448.6351170133426,2362.5209013664053,2379.5171524047646,632301
2019-03-06,2457.196044921875,2469.282184389711,2414.096833056052,2430.379577188045,748391
2019-03-07,2450.732666015625,2456.6919255245234,2434.0302644417893,2456.6919255245234,392086
2019-03-08,2480.781005859375,2488.251085607845,2434.0728747929693,2442.4240776498864,754427
2019-03-11,2518.42431640625,2528.0344995338987,2465.0014192572175,2492.7830224487648,1147194
2019-03-12,2514.689208984375,2535.4203924060985,2502.3092267996894,2528.0343281541286,503545
2019-03-13,2526.35595703125,2557.578654122392,2509.5695387121054,2519.6413897035923,565499
2019-03-14,2532.10546875,2538.9458524702322,2492.783200607137,2528.0346802116824,985558
2019-03-15,2537.9384765625,2544.988689874664,2501.1761816351964,2519.725254745809,538508
2019-03-18,2522.285400390625,2558.0825636929153,2511.332425360807,2540.5406319901235,341148
2019-03-19,2496.72802734375,2524.67745639065,2471.800235728213,2524.67745639065,545621
2019-03-20,2475.70263671875,2492.6150746124804,2450.8588627722575,2492.6150746124804,834351
2019-03-22,2475.786865234375,2516.9976040627735,2459.2522842166322,2484.389904599966,622630
2019-03-25,2482.669189453125,2489.0901172190047,2446.8302283768676,2463.2389927843456,319510
2019-03-26,2478.3466796875,2491.104315794008,2466.7640108216274,2485.271076791712,322020
2019-03-27,2501.260498046875,2513.7662985018624,2475.9968549517507,2488.5866694684546,402423
2019-03-28,2474.98974609375,2535.127012328493,2446.62065599545,2508.730408497564,1800550
2019-04-01,2447.165771484375,2475.9965248488134,2435.2894633385868,2474.2758761117934,679984
2019-04-02,2394.66650390625,2466.21860950034,2385.34996009857,2449.1383474903687,938624
2019-04-03,2389.798828125,2414.810635994294,2376.117854248058,2400.458164305703,484790
2019-04-04,2399.70263671875,2420.643653670984,2392.0647340241217,2402.136585535802,662281
2019-04-05,2401.8427734375,2417.2443952122107,2393.9532382791763,2408.5573412019785,272382
2019-04-08,2394.87646484375,2413.8870020009717,2385.3500902944234,2413.8870020009717,213351
2019-04-09,2454.84619140625,2459.0848035934678,2381.9930849639914,2400.458147638131,492843
2019-04-10,2470.03759765625,2477.6755004389374,2442.7178640457178,2449.096580462584,530788
2019-04-11,2512.675048828125,2517.9628117151947,2466.764234543652,2468.35886235947,400118
2019-04-12,2524.80322265625,2539.7431764829103,2497.1896454878197,2511.0804481316013,438822
2019-04-15,2547.381103515625,2556.571626983409,2511.2482954479183,2528.874035489498,271376
2019-04-16,2575.41455078125,2580.828130394478,2544.989163712393,2555.732513784006,371767
2019-04-18,2576.295654296875,2593.4177197004533,2552.5428304453394,2575.8759938221565,365773
2019-04-22,2560.936279296875,2584.2694448545194,2552.794906308873,2564.5454006992477,186563
2019-04-23,2550.822021484375,2576.7151531149734,2526.9433829534464,2559.928735179371,360759
2019-04-24,2581.58349609375,2587.5007499504422,2539.1137727904174,2547.339159328544,524013
2019-04-25,2591.865234375,2610.2882891956956,2541.12832131185,2580.0307264043813,509586
2019-04-26,2555.4384765625,2597.6983688247974,2543.1425064746804,2585.1085544363086,268298
2019-04-30,2504.61767578125,2559.9288432491408,2470.0374894442116,2555.7322385880766,654107
2019-05-02,2543.604248046875,2551.535790360097,2483.298953405168,2508.730420192872,670855
2019-05-03,2568.1123046875,2573.358060682041,2534.749296562219,2541.463864235232,446730
2019-05-06,2539.952880859375,2563.2860429928564,2528.873885899632,2563.2860429928564,259117
2019-05-07,2545.702392578125,2562.446804181119,2535.8403716318007,2539.7851390278634,244684
2019-05-08,2482.50146484375,2545.66036442265,2477.5075463246294,2544.8210434980138,427476
2019-05-09,2503.610107421875,2512.506990488918,2461.1405949195455,2475.996533135897,348293
2019-05-10,2489.593505859375,2524.677158957674,2479.6476765681873,2501.5958351972563,241374
2019-05-13,2495.09130859375,2517.12348312931,2473.688624759206,2493.077020315434,233316
2019-05-14,2465.25341796875,2491.943864778076,2434.8700409973726,2484.3899763365125,309971
2019-05-15,2446.15869140625,2475.534922130265,2435.1637108540845,2465.2952484032157,320831
2019-05-16,2469.827880859375,2483.0891937609067,2440.745489913212,2457.531910063922,218733
2019-05-17,2551.57763671875,2643.8189250508226,2463.5327481284353,2475.996745916032,1993105
2019-05-20,2523.250732421875,2591.7812092687723,2476.8362407070763,2591.7812092687723,1022048
