Price,Close,High,Low,Open,Volume
Ticker,BRITANNIA.NS,BRITANNIA.NS,BRITANNIA.NS,BRITANNIA.NS,BRITANNIA.NS
Date,BRITANNIA.NS,BRITANNIA.NS,BRITANNIA.NS,BRITANNIA.NS,BRITANNIA.NS
2019-01-01,2792.42236328125,2815.6845433649505,2771.679716269582,2807.675556740616,140863
2019-01-02,2804.8408203125,2817.574260309191,2772.759397409074,2789.6774854546443,152324
2019-01-03,2821.9833984375,2858.9692069364933,2787.3374071038347,2804.8405577073404,311498
2019-01-04,2810.10546875,2842.9516759467188,2794.6723387284574,2823.8288840856153,170818
2019-01-07,2829.093017578125,2839.171808584372,2812.1749292634427,2823.0637584700175,152966
2019-01-08,2780.2734375,2839.171580547677,2771.679387666195,2839.171580547677,217274
2019-01-09,2783.06298828125,2807.5403327071003,2772.579288847502,2802.275853771867,257227
2019-01-10,2779.733642578125,2789.6775370941295,2765.380345642019,2789.6775370941295,229690
2019-01-11,2786.8427734375,2804.750614401699,2771.319568785722,2780.6783984924195,353709
2019-01-14,2801.9609375,2811.2749484651677,2756.3812955021795,2791.4772375604834,154975
2019-01-15,2865.178466796875,2879.5768011901782,2785.1778092045442,2807.8101031985584,278642
2019-01-16,2857.8447265625,2884.07660712391,2830.1729245183224,2865.2688685743524,182044
2019-01-17,2886.056396484375,2890.465798770154,2857.214687273102,2862.5690242490227,154540
2019-01-18,2853.885009765625,2895.280222027506,2820.4987833000378,2893.030482230665,161433
2019-01-21,2833.23193359375,2878.361841134454,2822.5232611338565,2852.669771335669,174710
2019-01-22,2837.95654296875,2857.124369077922,2816.8089898715593,2834.6720109000685,156085
2019-01-23,2883.1318359375,2905.764132052424,2844.616243885825,2858.9695408889907,286992
2019-01-24,2894.830078125,2902.1641414858195,2871.1627731239737,2894.964974623219,148520
2019-01-25,2885.651123046875,2942.6596166505183,2873.4126705292015,2898.5647171961223,325166
2019-01-28,2882.771728515625,2899.464842857786,2817.5743088105924,2889.1160391045696,216799
2019-01-29,2861.714111328125,2876.9673034823654,2836.921934384785,2876.9673034823654,179979
2019-01-30,2887.586181640625,2899.4647642952714,2861.759211696539,2876.967365441335,116521
2019-01-31,2877.596923828125,2908.418356778704,2869.947809081266,2908.418356778704,255273
2019-02-01,2925.56201171875,2957.0583729645687,2880.5672099390094,2880.5672099390094,387188
2019-02-04,2939.06005859375,2952.018471890188,2905.0439490641616,2925.8766713185464,140277
2019-02-05,2850.015625,2984.0550881085505,2834.7624319850347,2949.8590406573667,503959
2019-02-06,2862.928466796875,2879.621578156873,2794.22155293024,2869.317814983546,313476
2019-02-07,2892.355712890625,2906.663970872971,2856.359874242043,2888.66605154868,374133
2019-02-08,2798.676513671875,2888.6661121822244,2785.1780738953225,2824.3235492473245,640983
2019-02-11,2796.4716796875,2818.7441042614396,2749.452116698073,2807.675340229917,265355
2019-02-12,2707.4267578125,2795.976422082984,2700.5874614325826,2794.176630372599,515301
2019-02-14,2631.8359375,2653.793312086438,2609.6984079520757,2623.196847993207,288540
2019-02-15,2572.2177734375,2650.1936725612545,2561.1039701559694,2650.1936725612545,374811
2019-02-18,2620.22705078125,2644.794254691911,2482.812980161614,2573.702473092503,700981
2019-02-19,2585.895751953125,2678.044998693792,2565.6030566876416,2618.87684682525,484180
2019-02-20,2629.766357421875,2636.6955132947323,2595.3002936320845,2595.3002936320845,271061
2019-02-21,2701.1279296875,2715.8861362518724,2641.1947680249323,2649.248793309169,724297
2019-02-22,2711.20654296875,2751.251912461172,2675.1206277479246,2706.8869984989988,313430
2019-02-25,2743.06298828125,2768.980037446857,2683.4899160437203,2711.566627764305,336072
2019-02-26,2765.830078125,2783.3330096262966,2716.1108291201504,2750.081899707174,568492
2019-02-27,2752.421875,2797.7315048289033,2720.700542365473,2771.679560690567,393442
2019-02-28,2750.891845703125,2788.417682634008,2729.294342871496,2763.580466497171,447041
2019-03-01,2769.205078125,2780.9938040827938,2755.7516763205067,2774.3794803345113,217420
2019-03-05,2761.645751953125,2789.902396676693,2753.6815849788504,2758.3609999411974,246280
2019-03-06,2723.849853515625,2777.933462519455,2707.786624641534,2777.933462519455,383038
2019-03-07,2739.1484375,2761.780733276065,2725.5148817271565,2740.1832299855387,254411
2019-03-08,2763.760009765625,2771.229189042448,2718.5852833567906,2736.58319983052,190651
2019-03-11,2819.778564453125,2825.222978203235,2759.530582150094,2777.0785509588095,336189
2019-03-12,2821.30859375,2860.589182312209,2808.4850769443497,2848.980393172719,413123
2019-03-13,2813.929443359375,2834.6720878152046,2784.1878398946083,2822.0735452026925,298030
2019-03-14,2834.132080078125,2852.6700236326647,2804.0756446811934,2821.173666904859,293230
2019-03-15,2759.57568359375,2851.7699701821307,2748.911829810279,2843.6709074709793,403251
2019-03-18,2810.6904296875,2821.0840533559694,2753.77200424069,2780.6788083896167,238905
2019-03-19,2812.534912109375,2824.638689249295,2775.279305038933,2814.8747296244437,184380
2019-03-20,2778.968505859375,2821.1735340059945,2771.139236080648,2813.794431860465,257001
2019-03-22,2788.41748046875,2805.785295309059,2778.87849619591,2784.277871512353,197654
2019-03-25,2781.353515625,2788.777657501213,2754.6716875503494,2766.955179865071,224948
2019-03-26,2788.912353515625,2818.474022377923,2753.6815161163618,2789.6773529283405,340645
2019-03-27,2786.8876953125,2804.9756918894604,2769.8797496425277,2804.9756918894604,360838
2019-03-28,2786.572509765625,2806.325179530931,2724.8846059386433,2782.477939749764,3470524
2019-04-01,2744.5478515625,2797.7766110751154,2739.2833721816182,2794.1319884038257,497409
2019-04-02,2694.468505859375,2753.321834913692,2682.0498973652593,2750.0821214974294,378147
2019-04-03,2690.77880859375,2711.836284695998,2659.3723099783415,2690.6887311236214,439719
2019-04-04,2737.3037109375,2749.182294258875,2685.424574447721,2701.4427672710353,464430
2019-04-05,2694.333251953125,2745.6273161326594,2686.864072351667,2742.8825898108953,387504
2019-04-08,2674.041015625,2712.2415576222647,2667.7417435033863,2699.6880521201415,293053
2019-04-09,2666.301513671875,2689.5639109114522,2647.943724920769,2675.4806277485786,350181
2019-04-10,2662.6123046875,2695.1884956529884,2655.863084748469,2672.601018376564,377556
2019-04-11,2651.138427734375,2676.3355135768543,2645.694013460323,2667.2915156110193,276801
2019-04-12,2685.56005859375,2690.689422582848,2649.294200696958,2656.493369720591,261483
2019-04-15,2698.29296875,2706.8870190172315,2674.49076480027,2697.88805951252,221766
2019-04-16,2718.135498046875,2726.684508883308,2697.887840802692,2699.6876325577305,258557
2019-04-18,2697.6630859375,2726.549833832506,2689.0239969311915,2726.549833832506,155314
2019-04-22,2699.822509765625,2712.286155460656,2673.590633003852,2689.7887586834445,150447
2019-04-23,2691.589111328125,2712.241681933184,2687.4046825360233,2701.4879679729293,138140
2019-04-24,2680.070068359375,2697.483142833418,2656.537877199937,2688.889092589895,222279
2019-04-25,2672.01611328125,2698.7880184324217,2666.0767119890957,2688.8891627462745,163138
2019-04-26,2670.62109375,2690.6888168257537,2659.1924594381617,2690.6888168257537,121340
2019-04-30,2606.143798828125,2677.1004650851205,2588.1458792142516,2672.691062660188,458803
2019-05-02,2504.455322265625,2663.6468187030055,2494.511428654892,2633.9952928112803,1439763
2019-05-03,2426.25439453125,2523.1733647790365,2420.7201222808494,2504.3654074729607,1857697
2019-05-06,2399.12255859375,2428.8191243977985,2388.7287166221017,2428.8191243977985,764919
2019-05-07,2385.218994140625,2448.1666650394,2379.954515526673,2414.420570593902,1182277
2019-05-08,2384.2744140625,2400.1126712909577,2353.993002024793,2390.663763441304,723429
2019-05-09,2404.881591796875,2420.539911473561,2373.025366453045,2373.025366453045,457843
2019-05-10,2419.415283203125,2452.21644640843,2405.421857339352,2411.7211289448046,471289
2019-05-13,2408.615966796875,2436.5577732316133,2401.416800936774,2425.2189991215114,332869
2019-05-14,2427.559326171875,2450.4165947017796,2391.968398529678,2408.0314089107587,403041
2019-05-15,2418.695068359375,2438.6727122686793,2393.7229585474606,2429.7187925105804,322361
2019-05-16,2444.29736328125,2463.015243194609,2409.7414462882502,2429.5391574136725,307180
2019-05-17,2501.03564453125,2506.3001233518926,2438.7178543418863,2447.5819167113727,533790
2019-05-20,2520.788818359375,2555.704829691168,2502.6109617504007,2554.8049336243753,442704
2019-05-21,2563.533447265625,2580.36145692372,2514.3992621628627,2519.7085601770614,490607
2019-05-22,2567.087890625,2589.900339031674,2535.4566383675265,2574.602109092988,393507
2019-05-23,2554.53466796875,2600.69937556521,2544.096006448081,2586.3010399219424,262582
2019-05-24,2565.6484375,2580.0017342157635,2527.0878074810116,2560.2040229661134,227827
2019-05-27,2606.59375,2614.1978271059093,2571.947754701006,2582.7014677431875,267259
2019-05-28,2597.999267578125,2632.195309201945,2591.6999967526845,2618.696871718858,441693
2019-05-29,2624.99658203125,2636.6952298085575,2583.6013668192386,2598.4496505365905,248043
2019-05-30,2598.134521484375,2643.039461509462,2586.8410029975066,2628.596087475433,225789
2019-05-31,2629.450927734375,2672.6909720815147,2600.339425566237,2605.19877581683,577546
2019-06-03,2672.87109375,2699.688038876407,2642.004616565278,2642.094694047044,535064
2019-06-04,2666.481689453125,2686.189322228208,2655.592860936496,2672.870818666879,211082
2019-06-06,2610.913330078125,2679.8452313979747,2593.320319455152,2668.4616349543176,333116
2019-06-07,2609.068359375,2627.0662782894606,2573.7024047678533,2614.1977223253893,285268
2019-06-10,2694.558349609375,2704.1871918430957,2618.4270682414194,2618.4270682414194,477974
2019-06-11,2681.95947265625,2708.6863337366162,2672.6905020590534,2704.186854776921,282227
2019-06-12,2696.89794921875,2704.1871939281004,2664.546735381371,2681.6447575725965,203661
2019-06-13,2685.784423828125,2694.828421804265,2656.4927675626354,2690.0589294669876,213532
2019-06-14,2667.381591796875,2687.2241211273317,2658.697464323947,2674.4906817042547,117529
2019-06-17,2608.978271484375,2679.80003818981,2601.689246173813,2667.381649949336,234062
2019-06-18,2580.2265625,2614.197633294097,2573.702317115703,2614.197633294097,302729
2019-06-19,2587.83056640625,2613.747611973206,2564.7032859781843,2584.5009955541564,258721
2019-06-20,2550.350341796875,2583.4665590442587,2516.60424128008,2564.7036392764503,425859
2019-06-21,2543.736083984375,2586.7061197534345,2524.2083839206616,2551.2052650321125,363700
2019-06-24,2502.160888671875,2578.2021025157064,2493.656915205907,2546.705741751989,369267
2019-06-25,2526.637939453125,2536.2219636138707,2477.9536979783966,2498.111280371822,304799
2019-06-26,2459.325439453125,2531.812098793377,2429.7189519560466,2524.208022309893,1387720
2019-06-27,2453.0263671875,2487.852517419665,2447.717068779071,2465.7149884024466,964520
2019-06-28,2469.044189453125,2490.9117024575567,2458.515451992068,2461.215139530859,363938
2019-07-01,2463.510498046875,2493.6119772531983,2458.5160309836656,2474.804237517436,282998
2019-07-02,2492.036865234375,2499.011058862818,2460.585545650208,2466.659843326594,242283
2019-07-03,2514.939208984375,2536.8067248701,2488.6172520129485,2500.8108862766967,454114
2019-07-04,2556.91943359375,2564.703445644805,2509.8097929485475,2510.709688894388,346395
2019-07-05,2542.071044921875,2576.311908478238,2530.417217146269,2571.902506407195,361520
2019-07-08,2502.745361328125,2551.1598040485064,2493.656544678932,2546.6152858733376,302972
2019-07-09,2486.09716796875,2500.2705275255616,2456.85055301025,2492.711490309049,314268
2019-07-10,2492.306884765625,2524.2081524129285,2468.3245257571193,2485.512626368809,356987
2019-07-11,2488.34716796875,2511.519488399149,2481.0131039459993,2501.7107105440255,206136
2019-07-12,2502.25048828125,2519.708379890034,2475.3885092794685,2486.4122334414874,186082
2019-07-15,2495.951171875,2515.2088548329825,2479.2130214901135,2515.2088548329825,150530
2019-07-16,2472.149169921875,2499.011152982948,2463.555339016988,2492.711881081298,221663
2019-07-17,2517.728759765625,2528.662406926013,2472.91390059625,2478.268237190427,306989
2019-07-18,2538.4716796875,2559.304183880462,2508.5050994170206,2519.708760501158,477907
2019-07-19,2473.94873046875,2552.6896218735683,2440.607763069114,2552.4198288639554,403725
2019-07-22,2460.76513671875,2495.681138715179,2445.9168555866017,2479.2130011556615,209576
2019-07-23,2456.895751953125,2474.6686960483903,2430.6188355094687,2464.8148798446628,242451
2019-07-24,2377.0302734375,2465.7150692290193,2357.7725866896844,2455.8162131116765,525583
2019-07-25,2404.116943359375,2416.2204993132846,2367.716198026896,2371.810548624218,771878
2019-07-26,2401.327392578125,2416.0858185242173,2354.6228789276274,2398.2227953761267,393941
2019-07-29,2404.792236328125,2420.090469037998,2387.0643282457436,2395.29828914735,245049
2019-07-30,2355.072998046875,2426.9746044531444,2332.980506112401,2407.2219301256214,354859
2019-07-31,2344.229248046875,2368.526441788628,2286.006016613357,2358.627585079025,487675
2019-08-01,2354.094482421875,2371.925280541402,2330.6975814193756,2344.228897074574,332895
2019-08-02,2348.21142578125,2375.907810938186,2312.5502693131675,2343.2333332249987,347132
2019-08-05,2333.684326171875,2350.56449493709,2301.5530055826307,2340.5630115167155,211393
2019-08-06,2308.52294921875,2363.915507320581,2297.435377680633,2319.7914981382787,404564
2019-08-07,2299.471435546875,2321.6465744294505,2289.9225050170126,2308.9297669163634,308676
2019-08-08,2333.005615234375,2344.228861936853,2296.1224777347893,2315.9895468680766,286738
2019-08-09,2342.5546875,2393.4219231452357,2282.953470860838,2345.0437339747778,1430286
2019-08-13,2273.5400390625,2321.601348347543,2254.6233757246514,2321.601348347543,731080
2019-08-14,2243.671142578125,2307.752804890748,2235.615773322773,2307.752804890748,466208
2019-08-16,2262.271240234375,2267.2946318169415,2210.2728506574736,2262.769093629682,734216
2019-08-19,2243.218994140625,2280.871565516357,2236.611884241601,2280.871565516357,586547
2019-08-20,2166.37548828125,2235.6162339898424,2146.0105630728403,2235.6162339898424,1174827
2019-08-21,2158.229248046875,2176.783955358664,2081.7476496153545,2162.302232578731,1700962
2019-08-22,2209.141845703125,2241.95200319846,2165.9229485885808,2166.375502485068,1252406
2019-08-23,2232.583984375,2264.579632317761,2174.2498330050153,2195.248288998059,629497
2019-08-26,2293.406982421875,2306.033189256926,2247.8800259119826,2262.769001748782,748623
2019-08-27,2431.02880859375,2465.7850786529116,2289.9225992655875,2294.765014100103,2211174
2019-08-28,2446.596923828125,2482.93691273619,2418.4932831181595,2443.79100132606,1149926
2019-08-29,2422.83740234375,2477.279536878426,2399.892835963882,2446.686855363115,535368
2019-08-30,2445.283935546875,2467.730648922869,2432.4767509961634,2434.7395200668575,507782
2019-09-03,2450.895751953125,2500.9480264530102,2428.4943384061407,2442.8854611438783,716548
2019-09-04,2385.365966796875,2486.8286250821984,2376.812743502591,2452.8417878492087,752108
2019-09-05,2424.466552734375,2448.3162280401943,2389.4842299542006,2399.4404142456765,931162
2019-09-06,2414.827392578125,2463.0696781612987,2395.096000123216,2439.627255671698,478053
2019-09-09,2428.13232421875,2439.084215514871,2398.716324675962,2416.5469017425717,298664
2019-09-11,2413.379150390625,2447.4112892518974,2407.586549338035,2440.170427449377,334013
2019-09-12,2422.973388671875,2428.539712811523,2396.4083884567035,2413.379158362418,310751
2019-09-13,2420.80078125,2427.498488840238,2391.2941862475427,2426.5933812754206,245991
2019-09-16,2457.412353515625,2470.9436675000866,2395.005230723469,2407.5861375641866,428246
2019-09-17,2436.956787109375,2480.8545034340045,2424.6021573991725,2461.8925443915755,604927
2019-09-18,2365.81591796875,2415.4609441551697,2342.599772212963,2415.4609441551697,832018
2019-09-19,2373.011474609375,2401.431768749135,2344.229004795932,2369.572021063996,499689
2019-09-20,2594.94384765625,2609.4255712567033,2355.5881539672187,2383.1486399996184,1324910
2019-09-23,2763.8818359375,3243.679480721952,2670.9726257720213,2679.1185944714275,1743589
2019-09-24,2787.9130859375,2819.410882527712,2765.1044128803087,2805.8342651158614,809417
2019-09-25,2747.906982421875,2797.0543748199825,2716.2282128616757,2787.6864217177563,582998
2019-09-26,2799.317138671875,2810.3594084168362,2760.578484918309,2767.8193465180952,514054
2019-09-27,2728.990478515625,2814.613539492537,2720.7086099792227,2805.879338052535,432428
2019-09-30,2664.77294921875,2737.0005933662983,2652.056361845515,2724.3743841858004,553451
2019-10-01,2642.5068359375,2703.9182516466994,2624.947616590078,2671.877532230902,474514
2019-10-03,2627.482421875,2642.0094450326364,2579.5570121079186,2638.2080367884537,285265
2019-10-04,2575.167236328125,2653.1877014540487,2566.0710801848486,2638.389101295774,313496
2019-10-07,2673.099853515625,2687.038423389851,2580.8692483947593,2586.662070127421,969709
2019-10-09,2768.272216796875,2782.8896194328686,2649.159941475785,2689.7994144340346,1037068
2019-10-10,2749.490966796875,2770.534721213146,2716.2282582034145,2769.7202126574257,422209
2019-10-11,2789.49658203125,2803.0731972889243,2754.5142584400646,2759.582728885463,510119
2019-10-14,2814.56787109375,2827.5562540560563,2777.7300345137846,2800.357725407319,350920
2019-10-15,2879.23828125,2890.597206454863,2817.012124964701,2832.172679405119,583008
2019-10-16,2875.301025390625,2882.7681642776865,2855.614931961099,2882.7681642776865,271629
2019-10-17,2939.65380859375,2956.3982992025467,2860.1400175025638,2874.621739110172,673820
2019-10-18,2943.72705078125,2949.926905803735,2916.7547977285512,2921.551912626193,230815
2019-10-22,2939.835205078125,2979.524046433653,2914.537488232617,2914.537488232617,435837
2019-10-23,2982.058349609375,3027.1327580895895,2944.315402022854,2950.6511560388885,591914
2019-10-24,2972.192626953125,3024.8698494362084,2950.8772970150803,2997.7166191899228,401741
2019-10-25,2957.077392578125,2985.8145614459254,2938.8846398031033,2985.8145614459254,213353
2019-10-27,2949.836669921875,2991.426325620205,2930.1505769365936,2979.6146256343227,39581
2019-10-29,3034.373291015625,3047.4973514838507,2949.7457286860317,2962.417235345008,458464
2019-10-30,2977.894775390625,3076.460910342269,2965.1326691030517,3052.9281113811335,496662
2019-10-31,2956.624755859375,3026.272745755712,2946.125418666107,2985.588200835509,488894
2019-11-01,2958.389892578125,2982.3299476597704,2929.5621232075264,2982.3299476597704,320106
2019-11-04,2932.41357421875,2985.950611834164,2920.782850678644,2977.804641689724,283144
2019-11-05,2925.081787109375,2968.7532333004565,2898.426409742898,2946.1255409734713,330794
2019-11-06,2921.552001953125,2948.705233177287,2888.198694543355,2932.4132944427897,347320
2019-11-07,2917.885986328125,2947.5735604260453,2900.779319744894,2940.6946541322263,288996
2019-11-08,2858.32958984375,2937.481199427335,2844.752976845759,2921.687117167709,376182
2019-11-11,2823.528564453125,2891.8188912585597,2814.8847423518378,2857.424801159084,464906
2019-11-13,2959.47607421875,2985.9504759836855,2896.3448084715956,2960.607458909559,1853222
2019-11-14,2924.221923828125,2964.1370397557653,2896.344563212494,2964.1370397557653,515326
2019-11-15,2892.317138671875,2950.6512894479956,2882.9038854097375,2923.6790340797993,261412
2019-11-18,2842.852783203125,2911.8672476747515,2829.3667664039976,2899.060061673706,429862
2019-11-19,2824.252685546875,2858.6467755342105,2814.884733174065,2842.8524705901395,261351
2019-11-20,2820.587158203125,2837.5126279293954,2769.629550706204,2823.936012484757,504339
2019-11-21,2781.0791015625,2817.6002858510865,2771.1229168068426,2817.6002858510865,295648
2019-11-22,2735.82373046875,2780.490884334049,2729.940530355413,2771.6660841640432,349622
2019-11-25,2752.070556640625,2756.0529421248793,2719.2151029880697,2738.4033420028973,437144
2019-11-26,2765.33056640625,2790.447307497085,2752.432780440686,2758.7685349500857,620959
2019-11-27,2797.7783203125,2805.8336899361243,2769.629384259529,2769.629384259529,235618
2019-11-28,2804.249755859375,2815.246725336072,2769.6293885030864,2815.246725336072,234706
2019-11-29,2767.547607421875,2801.3081668421783,2760.578322736234,2792.2570903741907,221117
2019-12-02,2785.016357421875,2796.737457792849,2761.9814109450276,2767.547734839695,387666
2019-12-03,2759.039794921875,2820.315540880439,2739.896634837863,2778.4090109531335,522267
2019-12-04,2759.899658203125,2776.2821959861626,2736.638434474308,2751.4368128065025,263755
2019-12-05,2790.356201171875,2800.9912157368444,2752.4322801764206,2773.6117101546884,278358
2019-12-06,2778.31884765625,2804.2047968140373,2769.3581483152843,2796.8282570147694,206989
2019-12-09,2768.18115234375,2792.076126922175,2758.2702677567345,2792.076126922175,206624
2019-12-10,2769.041259765625,2786.8265372276237,2753.428152338806,2775.1054370062584,185130
2019-12-11,2752.4326171875,2773.2500950550807,2742.7480086351216,2762.479401417368,315341
2019-12-12,2781.893798828125,2787.731699263364,2742.6572918792644,2759.311406043414,254614
2019-12-13,2764.560791015625,2802.2133586426216,2747.001790529831,2801.3082509686415,249099
2019-12-16,2761.39306640625,2794.8369735825913,2754.016526846027,2769.5390359212,369764
2019-12-17,2780.445556640625,2783.658733172441,2760.57848680733,2769.629563813256,212811
