Price,Close,High,Low,Open,Volume
Ticker,TATACONSUM.NS,TATACONSUM.NS,TATACONSUM.NS,TATACONSUM.NS,TATACONSUM.NS
Date,TATACONSUM.NS,TATACONSUM.NS,TATACONSUM.NS,TATACONSUM.NS,TATACONSUM.NS
2019-01-01,208.5533447265625,210.40947605670203,207.55388492593735,209.36242016570662,716275
2019-01-02,204.26995849609375,209.74317484253677,203.31809478366887,208.45815302104816,1081778
2019-01-03,199.93898010253906,204.98386079434124,199.79619182795844,204.60310658641419,2096553
2019-01-04,203.50845336914062,204.55549468034363,199.89136855706028,200.4624925626523,1213181
2019-01-07,204.6031036376953,206.50683107703054,203.69883600886862,204.26996005038427,871903
2019-01-08,204.79347229003906,205.74533600419085,202.46140909522475,204.2699588666857,590293
2019-01-09,202.36622619628906,206.26885860864502,200.5100803823446,205.60255693085617,908322
2019-01-10,203.8415985107422,204.84105826610846,201.84269352429655,201.84269352429655,715378
2019-01-11,201.6999053955078,204.88865449232733,201.1287959094045,203.69882490758675,698106
2019-01-14,203.22288513183594,203.93678285478148,199.55820434433417,201.5571237782963,1036107
2019-01-15,203.984375,204.88864252673582,202.3662097641118,202.8421415702134,649313
2019-01-16,206.0308837890625,208.64850882213378,203.5560470178216,204.07956040500656,1088457
2019-01-17,207.64903259277344,208.22015654615709,204.69826423171918,206.0784635073966,1267904
2019-01-18,205.8405303955078,207.98222377534546,203.41327499350092,207.88703159319314,771653
2019-01-21,200.3673095703125,206.50682755252632,199.89137771860155,205.7929297749599,1005521
2019-01-22,201.89028930664062,202.3186250513524,199.12987596151174,199.60580779436634,682384
2019-01-23,200.46250915527344,204.46033395246403,199.8913851024085,201.31918071028284,937183
2019-01-24,200.65286254882812,202.4138016062738,199.3678407973707,201.8902882124007,1059068
2019-01-25,197.08338928222656,201.84270795832822,196.13152554700625,200.84324813148928,1723705
2019-01-28,199.17745971679688,200.17691940876347,191.6577430330217,197.0357666015625,1629992
2019-01-29,194.98928833007812,200.27212034251525,192.46684076425356,199.8913806652489,1325502
2019-01-30,194.65611267089844,196.6074360206229,192.1812614189133,193.94221494716655,1407845
2019-01-31,193.98983764648438,196.08393501852353,191.13424635980684,195.89356517093606,2584783
2019-02-01,194.275390625,197.79728347622552,191.94331289681213,193.98982860478438,948332
2019-02-04,190.22998046875,194.60854510134507,188.4690266824561,193.70427742363543,1115503
2019-02-05,176.9990692138672,190.42035449050405,170.66918080691414,188.94496270807693,8331711
2019-02-06,179.37869262695312,180.61611821258163,169.52691307538385,175.14290250917006,3459646
2019-02-07,181.9011688232422,183.18617617391396,177.6653635072643,179.23594741269184,1968302
