Price,Close,High,Low,Open,Volume
Ticker,NATIONALUM.NS,NATIONALUM.NS,NATIONALUM.NS,NATIONALUM.NS,NATIONALUM.NS
Date,NATIONALUM.NS,NATIONALUM.NS,NATIONALUM.NS,NATIONALUM.NS,NATIONALUM.NS
2019-01-01,44.90165710449219,45.17565234396838,44.21665855355333,45.141405552095954,2170269
2019-01-02,43.80565643310547,44.73040601469038,43.56590538022256,44.52490436563017,3437321
2019-01-03,43.01791000366211,43.66865917277074,42.84666035984732,43.6001603604697,2626386
2019-01-04,43.73716354370117,43.8399143882737,42.84666580530187,42.84666580530187,3768550
2019-01-07,43.80565643310547,44.45640555798477,43.56590538022256,44.182405101279166,2983061
2019-01-08,43.01791000366211,43.737157985071775,42.84666035984732,43.6001603604697,2629795
2019-01-09,43.08639907836914,43.360396862094404,42.81239868158244,43.08639907836914,3080135
2019-01-10,42.98365783691406,43.18915687368133,42.70965737918303,42.915159029012315,3118288
2019-01-11,43.291908264160156,43.46315789921375,42.846658167795994,43.052157207247895,1962907
2019-01-14,42.09315490722656,43.360400983426395,41.78490508480826,43.360400983426395,2935255
2019-01-15,42.57265853881836,42.77815756967465,41.95615883318756,42.05890965514668,2797007
2019-01-16,42.23015594482422,43.12065341685062,42.05890633047061,42.94940380249702,3099309
2019-01-17,42.33290100097656,42.572652011099194,42.0246511954255,42.33290100097656,1640045
2019-01-18,42.09315490722656,42.46990352882151,41.95615469581157,42.33290331740652,1471753
2019-01-21,41.81916046142578,42.29865996338015,41.47666119046724,42.16165973238432,2155168
2019-01-22,41.579410552978516,41.78490958570566,40.96291084173512,41.64790935953358,2918880
2019-01-23,42.264400482177734,43.12064845542663,41.476651301564175,41.476651301564175,4655030
2019-01-24,42.36715316772461,42.778153806342075,41.6479053164712,42.19590355489943,2839521
2019-01-25,41.476661682128906,42.88090818709237,41.30541204461966,42.77815997242408,4271326
2019-01-28,41.03141403198242,41.99041043044669,40.92866320465386,41.95616102569119,6065127
2019-01-29,41.09990310668945,41.476651695888485,40.75740391413371,41.031404313402895,4437503
2019-01-30,41.09990310668945,41.40815290260192,40.928653510411586,41.16840189997602,3498115
2019-01-31,40.82590103149414,41.44240059801142,40.3121522637502,41.33964979923808,19300402
2019-02-01,40.51765823364258,41.099905854692736,40.07240820832541,40.72315724030371,4668687
