Price,Close,High,Low,Open,Volume
Ticker,BPCL.NS,BPCL.NS,BPCL.NS,BPCL.NS,BPCL.NS
Date,BPCL.NS,BPCL.NS,BPCL.NS,BPCL.NS,BPCL.NS
2019-01-01,118.78069305419922,119.45998648339965,116.45165598579172,116.79130270039192,3105422
2019-01-02,115.78854370117188,118.39252842410285,112.16559899196082,118.39252842410285,19725590
2019-01-03,114.02558898925781,114.7695817914177,112.61846272525713,113.86385056515957,9972260
2019-01-04,116.27374267578125,117.00156549435393,113.70209810146625,113.79913719525109,7717220
2019-01-07,115.01216888427734,117.35737561480475,114.51078380782138,116.45164455032683,5790820
2019-01-08,113.84767150878906,115.12539903329349,113.23305764929694,114.86662152425515,4342090
2019-01-09,109.99827575683594,113.70208885897011,109.33515230250896,113.54035046799007,9131732
2019-01-10,108.55883026123047,109.5777803402328,107.71778849681925,108.97934620757118,9773604
2019-01-11,109.10872650146484,109.88507876018924,108.21916525409476,108.68821058776334,4669620
2019-01-14,108.34857177734375,109.93360632295717,107.24874262121261,109.62629937549764,7516622
2019-01-15,110.53202819824219,111.06576295205495,108.7529057710472,108.97933361147118,6913912
2019-01-16,112.32732391357422,112.89340833934456,110.74228949576302,111.72888983198548,9562002
2019-01-17,114.89896392822266,115.48121822267075,111.9391432948806,112.27879985974911,7898996
2019-01-18,114.57550048828125,115.70766942641949,113.63740975644008,114.478451513403,5008314
2019-01-21,113.71826171875,115.06069829631997,112.66696214992854,113.57270308610396,3885636
2019-01-22,114.44609832763672,115.67531620276608,113.55653704651772,113.7021055684835,4687940
2019-01-23,115.52975463867188,116.01496991214108,114.64019330397834,114.67254296322228,3973026
2019-01-24,114.49462127685547,116.53252123879378,113.94470674910508,115.52974114969363,3294118
2019-01-25,115.62680053710938,116.5648813998215,114.83427832952357,114.83427832952357,3868832
2019-01-28,112.7963638305664,115.77234446019135,111.98767183256042,115.48121731525488,2902748
2019-01-29,111.56713104248047,114.33286322615423,110.20853459187029,112.6022606091877,6198614
2019-01-30,110.85549926757812,111.53479262543243,108.84993923199717,111.43775353766128,5565262
2019-01-31,111.7450942993164,113.54038706924013,109.36753721112711,110.22474898530933,15638906
2019-02-01,110.30560302734375,112.79637865729826,109.46456126451952,112.31116339471464,5444740
2019-02-04,109.5130844116211,110.61291360696728,108.70439228076663,109.98212979620874,4309536
2019-02-05,109.3189926147461,110.07915522591522,108.88229694399796,109.49690091273698,2584132
2019-02-06,109.75566864013672,110.43497185950602,108.91463690082313,109.3189828800039,4190822
2019-02-07,109.78800964355469,110.64522107753992,109.30279450676372,109.90122848315134,3048046
2019-02-08,109.14108276367188,112.18176305529326,108.38091022283413,110.07916361606054,6682742
2019-02-11,107.911865234375,109.1734228125296,106.10039313336209,107.7177771750292,6629896
2019-02-12,109.75566864013672,111.11427507887531,108.04124563710147,108.04124563710147,6080496
2019-02-14,102.10547637939453,106.16511719341827,100.94095762357051,105.48581376321,21289140
2019-02-15,106.05187225341797,106.42386860397977,102.8656237570382,102.8656237570382,13414256
2019-02-18,106.01953887939453,106.77971146050356,104.33745529020558,104.33745529020558,7905264
2019-02-19,108.44561004638672,109.59394887372667,105.30788076600223,105.45344929193757,7666336
2019-02-20,110.33795928955078,111.51864785815545,108.7205749841388,109.33517904584927,12565482
2019-02-21,112.07604217529297,112.86154588170061,109.05102920035387,109.63597724970442,9353768
2019-02-22,115.05096435546875,115.98687744187164,112.20978724233933,112.64431613230762,9709800
2019-02-25,112.32675170898438,115.40191172814046,111.725094844695,115.31834770806215,14031192
2019-02-26,112.5273208618164,112.9618599386302,110.05382761166882,112.32676514949368,9058794
2019-02-27,110.53850555419922,114.18189530742663,110.25438580540482,112.97857120709521,9000098
2019-02-28,112.8281478881836,113.64707945275032,110.3045182923753,111.64154275652531,17938838
2019-03-01,115.66932678222656,116.1707109645521,112.69444934056584,113.06213311440868,5744496
2019-03-05,121.1678466796875,122.15390633983857,115.46878376440755,115.66932928112045,12761902
2019-03-06,124.57725524902344,124.94492880643914,121.45195860618202,121.93662384126947,12197224
2019-03-07,123.90876007080078,125.99786102828874,123.34052053008875,124.86138194686468,11389848
2019-03-08,122.78899383544922,124.14272710857283,121.88649818624165,123.97559904025199,5625148
2019-03-11,129.37380981445312,129.85848520372465,123.27363644259218,123.49091105200169,18973830
2019-03-12,130.42672729492188,131.83059671910664,128.4546082502971,129.82506022682605,12191846
2019-03-13,130.04234313964844,131.195530867035,127.86967829726443,130.35989054304113,9568180
2019-03-14,130.4601593017578,130.81113434748693,127.90310202887309,130.00892170118604,4095730
2019-03-15,132.46571350097656,133.13422582790693,130.15934801320452,130.69415991488654,17258182
2019-03-18,135.55755615234375,136.67731611820975,133.03392669851343,133.03392669851343,14786442
2019-03-19,136.3096466064453,137.011586524077,134.55480191270993,136.3765019131484,8445352
2019-03-20,130.0757598876953,136.2093613917302,129.18998325865942,136.10908864153242,10572670
2019-03-22,126.66636657714844,131.9309007091599,125.83072623873392,130.19276472498262,11837696
2019-03-25,128.25405883789062,128.77215166893845,125.36273565609262,126.59948720210366,8329530
2019-03-26,128.3209228515625,129.82507539652903,125.84742959553277,128.43791453408625,8515642
