Price,Close,High,Low,Open,Volume
Ticker,AUROPHARMA.NS,AUROPHARMA.NS,AUROPHARMA.NS,AUROPHARMA.NS,AUROPHARMA.NS
Date,AUROPHARMA.NS,AUROPHARMA.NS,AUROPHARMA.NS,AUROPHARMA.NS,AUROPHARMA.NS
2019-01-01,705.5653076171875,709.7516156854061,702.1488291202061,706.3833029330008,1340165
2019-01-02,697.0963134765625,704.8434792811212,691.9476306797835,701.571380758779,1845752
2019-01-03,688.9642944335938,696.1821070219942,683.8155528773093,693.8723834982223,1357059
2019-01-04,698.5399780273438,700.6091080920587,681.6021989096162,687.1358560133652,1340101
2019-01-07,697.481201171875,703.4960442313082,692.5249469954214,698.6841697837617,1413246
2019-01-08,718.461181640625,723.5617583664707,702.5338840981975,704.5067414770307,4416254
2019-01-09,728.7586059570312,730.4427625241159,714.4673580118299,720.8190107122039,2996718
2019-01-10,747.7173461914062,749.690203399979,724.8128305438738,727.5555760852171,4276190
2019-01-11,740.8844604492188,746.3219033566522,734.7734019507466,746.3219033566522,2470794
2019-01-14,741.2213134765625,749.5939885910163,736.7943527750728,740.980719701657,1789500
2019-01-15,756.9561157226562,759.2658394354567,742.0874088259494,744.8783200840238,1884570
2019-01-16,758.6403198242188,761.816146074937,749.6902426672061,755.320113805356,1884849
2019-01-17,745.840576171875,761.5272758971684,740.3069202841482,758.8807448204294,1308601
2019-01-18,741.0770263671875,751.6150467732768,734.2922928143537,750.7488855798418,2473473
2019-01-21,746.9954833984375,755.2718848658452,738.3341084372726,741.4137201712061,1640124
2019-01-22,759.2658081054688,760.4687769190148,747.8616285098252,750.7006466575363,1850566
2019-01-23,753.6358032226562,763.5483122429872,750.9892720983108,762.2009638114746,1819565
2019-01-24,759.1215209960938,765.7619331527533,749.9789568973787,755.4645071043515,1853657
2019-01-25,756.5712280273438,764.7995235984931,750.7007045215124,760.2763487631715,1464004
2019-01-28,727.170654296875,755.2239139724146,717.4025815734672,755.2239139724146,2576685
2019-01-29,734.19580078125,742.8571744810428,716.0549995112419,721.7811416494004,1651135
2019-01-30,749.0165405273438,751.6149650865256,735.2545881256152,735.2545881256152,1404668
2019-01-31,758.1591186523438,760.276355694426,747.861692973043,749.7383362316776,1513974
2019-02-01,767.7828369140625,771.8248240495963,750.6525720183106,752.6254292098466,1212130
2019-02-04,735.2064819335938,774.6638617066416,730.5389273757478,767.7828561287823,2659793
2019-02-05,715.5258178710938,739.777679800882,709.1741663188984,733.329755504739,2602950
2019-02-06,731.2606811523438,735.9763425405374,710.2328091466709,717.450622247755,2020397
2019-02-07,749.160888671875,752.5773084394265,731.4050567953506,736.2169321690042,2022287
2019-02-08,732.5116577148438,760.1799352998227,722.2623418270147,760.1799352998227,5241158
2019-02-11,734.4365234375,741.0287688597947,721.0113800980773,735.2545187128353,1976232
2019-02-12,739.0078125,742.9535266460297,731.50124023981,741.0287765769986,1282888
2019-02-14,720.578369140625,728.5179638590358,716.5363818998727,718.8942126852045,1560056
2019-02-15,696.5750732421875,722.9400807237704,692.1407687321597,722.9400807237704,2894602
2019-02-18,690.9358520507812,700.6238839710251,688.3330822777605,699.1779073012293,1914606
2019-02-19,682.5491943359375,695.3701760593677,680.5730379336886,691.6588593731184,1579099
2019-02-20,696.7679443359375,698.6959132238825,683.0311660093294,683.0311660093294,2207544
2019-02-21,704.76904296875,706.5042621347443,694.2616472424822,696.9607920695536,1818817
2019-02-22,704.8653564453125,709.9744616456404,700.623801843002,704.7689227097987,1190262
2019-02-25,683.3203735351562,711.9025368359256,679.6090568305045,711.9025368359256,5273045
2019-02-26,693.3458251953125,698.3103687158466,669.9692019614073,674.7891242776765,3498295
2019-02-27,693.53857421875,704.2869647576227,689.2488319587521,694.0687538605615,1895988
2019-02-28,686.4050903320312,700.7202941844039,684.4289340504004,693.2011686844396,2831108
2019-03-01,698.840576171875,701.4915335511596,687.9957505293473,689.2489186139838,1775302
2019-03-05,709.5889892578125,714.0715408587309,694.0688618539133,702.7447226270872,2277803
2019-03-06,706.93798828125,718.5058019333839,704.5280271037221,717.0116377707051,1846913
2019-03-07,699.0814819335938,714.1196146792834,694.1651263089719,708.5285170603443,1309875
2019-03-08,709.3479614257812,711.0831805724295,690.7430725887822,696.3824171415013,2051628
2019-03-11,723.7113037109375,725.6392725519923,710.4565179286859,712.9146664336428,1866365
2019-03-12,745.4009399414062,757.5953661793939,716.095790542785,732.4353379480737,4515564
2019-03-13,738.6530151367188,754.7033782499941,727.9045659983236,748.0518626376428,2951290
2019-03-14,750.6064453125,757.6917068224392,736.4840509062896,739.3760039857646,2419483
2019-03-15,743.810302734375,756.7277165905679,740.7255998764205,753.8357635335339,1860397
2019-03-18,749.3532104492188,752.5825933217748,736.8696601944052,748.0518551123413,1210629
2019-03-19,749.3532104492188,763.4756047022864,743.2319333654834,749.9798238110844,2691354
2019-03-20,748.6302490234375,758.1737179590963,747.0878975439283,751.8114445599488,1306974
2019-03-22,740.6292114257812,758.559356777916,734.7007425985188,750.943856393959,1680669
2019-03-25,747.9073486328125,750.9439233338311,730.9412450165307,739.3761093671995,1430024
2019-03-26,753.739501953125,755.5228497383036,742.7500551494264,751.8597204160523,1250197
2019-03-27,747.1361694335938,760.2945812960837,741.6896923510295,754.7998579193205,1732033
2019-03-28,741.5449829101562,751.8114400724816,738.1710375865482,751.8114400724816,2428881
2019-04-01,763.8130493164062,778.7066207172277,759.6197405272063,764.3432878292205,2459846
2019-04-02,757.9328002929688,773.0191809973296,753.1128778745715,766.367664525164,1323530
2019-04-03,744.8226318359375,766.9460285773083,742.5572330062911,758.6557855859872,1320439
2019-04-04,756.1010131835938,761.0655555417216,744.9670070073355,747.0877840973201,1277490
2019-04-05,758.2700805664062,764.8252213403644,755.9565533846592,759.9088657598958,949870
2019-04-08,753.9323120117188,767.3317211290279,745.8348768899135,755.0409178069235,1600520
2019-04-09,757.6434936523438,760.5836340826147,744.0995256239629,755.6673375491737,1694712
2019-04-10,761.5957641601562,772.5852084221914,752.1487300391937,753.835702519256,2341755
2019-04-11,754.6551513671875,768.2955539335302,747.2807061328488,765.6445968779252,1748275
2019-04-12,748.9677734375,763.1865448959389,742.2680693557957,756.5350282721286,3483503
2019-04-15,749.59423828125,753.1128048402388,744.388757876357,749.9798555721034,892794
2019-04-16,754.221435546875,758.1737481435531,746.1239428647299,753.1610173801746,1275788
2019-04-18,761.1138305664062,765.4035726844809,750.9438074574441,756.7277135482589,1602160
2019-04-22,752.052490234375,760.1499242910215,745.9311536907279,756.7277912698645,994985
2019-04-23,750.5582885742188,764.825305871378,748.2929485931262,751.3295232236437,1186522
2019-04-24,757.0169067382812,758.6556919189624,749.208656950891,753.3055904841256,872050
2019-04-25,766.8977661132812,785.6472741785495,756.8241175174694,757.6917269991901,4568333
2019-04-26,801.2156982421875,805.5053819702616,770.2717621301713,771.6695513484719,5509641
2019-04-30,789.5513916015625,807.8189072989195,781.6467079489113,801.2156378563702,4118956
2019-05-02,770.5127563476562,800.1070906236544,760.7765369724341,786.1293161489037,2571204
2019-05-03,750.9920043945312,770.5126876976296,749.3532192140444,770.0306955173063,1530678
2019-05-06,750.847412109375,758.4628529527268,745.1598810735229,747.0878497179563,1276526
2019-05-07,742.9428100585938,761.2103267275237,736.9179073865813,754.5106231888577,1597737
2019-05-08,737.6409301757812,748.051950712118,727.3744720081638,742.2680438767151,1648180
2019-05-09,729.3988037109375,739.3760184961565,724.1932645309485,734.5560966024397,1182727
2019-05-10,721.3013916015625,735.1827917338175,716.4814691718828,729.6880683965938,1096638
2019-05-13,691.3697509765625,720.2411008495222,675.7531890485639,718.1685104724395,1882969
2019-05-14,689.1524658203125,693.8759540419979,677.1026609125363,692.5745986467333,2081793
2019-05-15,683.9951782226562,710.3119428441453,679.9464316262095,687.8029286983258,2926292
2019-05-16,700.1419067382812,702.4554929942666,666.4024503873264,687.272737636337,2766633
2019-05-17,646.3032836914062,702.1661854699746,638.1576046143651,702.1661854699746,11691715
2019-05-20,640.3267211914062,659.2207943602057,633.6270169704525,657.9194387852989,5163329
2019-05-21,642.4474487304688,655.5094262658785,635.1211316053323,641.0496595100135,4277829
2019-05-22,640.6159057617188,650.4967471651848,639.1217415119985,645.8696332021705,1519832
2019-05-23,647.9421997070312,666.4989011744357,632.8558188753768,645.8696095148553,3325461
2019-05-24,656.135986328125,659.8954900767145,647.5565018826608,650.6894510916204,1385499
2019-05-27,657.1481323242188,660.1846476744771,647.8456599653678,657.8229331254765,1587132
2019-05-28,650.4003295898438,666.0650771289202,648.2795520017803,658.4013888731836,2727292
2019-05-29,662.0162353515625,672.8610590103978,645.9658728017129,660.3292627824104,6191891
2019-05-30,659.7026977539062,676.7170458751434,657.4373579584727,666.8843932702537,4929479
2019-05-31,648.1830444335938,667.5591046585871,641.2905333922384,662.7391833253122,2821414
2019-06-03,633.1931762695312,637.0491141537016,616.9500614672412,635.2657664170499,5404361
2019-06-04,630.2047729492188,635.9886790871848,625.04748017764,626.58983161299,2104475
2019-06-06,602.056396484375,630.1565630029589,599.3572521504009,630.10837555425,4729934
2019-06-07,597.092041015625,610.2022070800384,588.2715590372724,602.4903308452195,3627243
2019-06-10,604.5628662109375,606.8282061143959,594.2482209162673,599.9356938207349,1835124
2019-06-11,628.7105712890625,631.1687194830074,596.5134721823424,609.4308853178367,4636446
2019-06-12,618.4442138671875,630.7350156392097,613.2869205799784,628.0358709390167,2872644
2019-06-13,614.154541015625,619.601077326593,606.0571059956728,616.7573111008394,1907504
2019-06-14,594.6820678710938,614.058132991138,581.0898509752452,614.058132991138,5559974
2019-06-17,600.8515014648438,606.346224647961,591.3562780794578,597.188372288413,1957331
2019-06-18,599.83935546875,605.285891431649,598.2487575080606,601.5263283447167,1796832
2019-06-19,590.343994140625,603.9361488970717,585.6204476535851,603.4541567590852,1716645
2019-06-20,604.5628662109375,605.3822294516929,586.2471618166984,588.946306486356,1356459
2019-06-21,580.75244140625,602.972271124754,557.8096233530641,602.4902789016327,7444855
2019-06-24,565.1840209960938,592.5612004757478,561.3280835390685,592.5612004757478,4412032
2019-06-25,578.1013793945312,579.6919181403715,555.2549403922554,564.8947831073988,3327392
2019-06-26,598.8271484375,603.1650784359152,578.3906664553559,578.3906664553559,4593681
2019-06-27,590.199462890625,599.5983110134238,588.223306591168,596.7063577448704,2677649
2019-06-28,586.1506958007812,603.4060398938497,581.4753950502088,591.1634263895725,2850389
2019-07-01,593.187744140625,594.9229630340388,585.6686780045943,588.0304514211318,1325880
2019-07-02,588.898193359375,596.1762650461934,584.4638290652381,593.8144910982991,912839
2019-07-03,574.7276000976562,590.8261538394092,566.8229150254896,590.8261538394092,4994049
2019-07-04,583.3070068359375,586.3435815947577,571.6428177323326,571.6428177323326,3852443
2019-07-05,575.6915283203125,588.8498808295128,572.895949865905,583.2105953022758,2016268
2019-07-08,565.6659545898438,578.1495625813711,560.7978458219469,571.642668796587,1926774
