Price,Close,High,Low,Open,Volume
Ticker,EICHERMOT.NS,EICHERMOT.NS,EICHERMOT.NS,EICHERMOT.NS,EICHERMOT.NS
Date,,,,,
2019-01-01,2037.941650390625,2046.5432637832898,2012.4532037227102,2035.0554980664779,444340
2019-01-02,1859.3377685546875,1962.8115154247573,1840.7068054708775,1962.8115154247573,4814970
2019-01-03,1775.79541015625,1848.592509128948,1770.4841825162023,1848.592509128948,4683010
2019-01-04,1766.3197021484375,1814.1555037031364,1757.305168669206,1785.772110853514,3418330
2019-01-07,1742.316162109375,1799.1269211911713,1735.6914184517832,1796.7547206954678,2156680
2019-01-08,1761.1402587890625,1812.5696461823477,1738.3272152068712,1744.4774757610526,3664290
2019-01-09,1782.7891845703125,1792.1639774606235,1744.0381672881965,1747.5526018822281,1637520
2019-01-10,1806.076904296875,1809.9339020656005,1787.5337777958944,1788.847293497846,1021430
2019-01-11,1801.8154296875,1824.632869904101,1791.2193582048903,1809.933764790183,1122200
2019-01-14,1799.425537109375,1812.4991297205154,1776.7222143497156,1812.3938082338043,701210
2019-01-15,1813.2855224609375,1816.0839422806434,1799.3903791924324,1804.6620306939728,633190
2019-01-16,1821.8564453125,1826.0956887916238,1812.218134972599,1812.218134972599,674680
2019-01-17,1789.7213134765625,1831.701150699674,1771.314506283381,1827.5058804536186,1037770
2019-01-18,1768.002197265625,1794.5581215800946,1752.8242117759062,1792.361600011453,1081400
2019-01-21,1759.67724609375,1783.39527960085,1752.8020698417067,1770.48406690295,950380
2019-01-22,1759.290771484375,1787.9685701680262,1748.431181638512,1757.305107391397,1378300
2019-01-23,1765.050048828125,1776.8102336448042,1756.426449556031,1763.9824621462715,535950
2019-01-24,1767.3740234375,1786.2113409431568,1763.806820926408,1770.3963856372163,457230
2019-01-25,1761.6058349609375,1786.8922160557483,1742.728942174903,1774.7893612138969,671890
2019-01-28,1756.1102294921875,1778.3917317952603,1745.9359800229895,1762.5767762306034,1019070
2019-01-29,1658.5714111328125,1757.217213930226,1651.7841810944124,1757.129374519935,1931980
2019-01-30,1662.2528076171875,1677.6943107111429,1651.784151929391,1660.5702378439091,1026320
2019-01-31,1669.8614501953125,1685.0790107815103,1654.9558857450638,1679.8995960694974,675110
2019-02-01,1727.643310546875,1769.9307493508209,1676.0382441282798,1677.2639203608437,1857170
2019-02-04,1768.4896240234375,1795.1685642893713,1707.5757313481515,1732.6160752346564,1621290
2019-02-05,1799.359619140625,1808.6069960426746,1771.274925464607,1771.3627648735999,1018700
2019-02-06,1854.2376708984375,1862.6503056753809,1803.7528530662064,1803.7528530662064,1297160
2019-02-07,1924.5218505859375,1929.8638597084694,1858.3188188836239,1865.7166349219262,1352940
2019-02-08,1831.6705322265625,1924.5218314488163,1823.1128928182673,1920.1991456647338,1234030
2019-02-11,1823.3896484375,1885.454683236459,1786.2992145230492,1795.3489264664702,2619820
2019-02-12,1857.158935546875,1871.4363253529716,1763.3674671283634,1798.5118112664475,2590360
2019-02-14,1758.658203125,1808.8882974584708,1748.431185731183,1771.2750102683744,1403410
2019-02-15,1777.7855224609375,1790.3583562163142,1751.247080084775,1770.1591523427603,1235950
2019-02-18,1770.853271484375,1796.7546365665846,1761.4082287738172,1795.2610448061919,850970
2019-02-19,1793.2225341796875,1798.032894736253,1767.8483139332034,1774.7893432110177,654740
2019-02-20,1803.656005859375,1814.3267242623947,1790.604292516591,1793.6794225577137,698580
2019-02-21,1796.530517578125,1812.982441980128,1779.1823952537443,1796.7545670587194,670210
2019-02-22,1809.533935546875,1818.7198573808876,1783.5755123107253,1807.9129283710008,740010
2019-02-25,1819.1417236328125,1825.8323203017412,1801.1478346209258,1818.7112139500662,462600
2019-02-26,1811.69091796875,1834.091146999372,1792.3703235973442,1816.0839609318168,878770
2019-02-27,1793.0426025390625,1825.8234357442116,1783.755648978098,1825.8234357442116,624010
2019-02-28,1745.71630859375,1814.2388800323156,1739.6450929106497,1814.2388800323156,1870270
2019-03-01,1752.70556640625,1760.024337559407,1732.6161890018648,1748.7826089703406,984330
2019-03-05,1889.483154296875,1922.1321757847172,1697.4719781050635,1713.2869344228127,4523630
2019-03-06,1889.3555908203125,1915.3667817209275,1880.661741409929,1889.8871318723463,1265860
2019-03-07,1890.8974609375,1906.5807106493032,1881.2108866769536,1893.3136346491524,831150
2019-03-08,1921.609375,1941.1496230063506,1880.2268213375473,1890.7658351697885,1957920
2019-03-11,2018.3792724609375,2033.5571498948875,1923.7134879466703,1928.4184197372276,2485590
2019-03-12,1973.5262451171875,2051.9903237245276,1956.9161242921325,2020.8876660194674,1992480
2019-03-13,2001.2286376953125,2011.8377924650404,1973.5303759441517,1975.8849866703554,1461680
2019-03-14,1987.40380859375,2019.6532050876742,1976.9572469840375,2003.227557662288,968750
2019-03-15,1986.7403564453125,2006.5661054731233,1970.3674787102188,2006.5661054731233,981900
2019-03-18,1955.027099609375,2003.2188684468592,1941.900738245212,1985.6554906298136,993140
2019-03-19,1911.7733154296875,1954.0256836248573,1895.9980426101329,1954.0256836248573,2011750
2019-03-20,1874.7752685546875,1919.759990652222,1861.7718170215371,1903.0664255161157,1371030
2019-03-22,1884.3385009765625,1904.348723535976,1869.2395625939853,1874.7748389821427,2168820
2019-03-25,1858.3758544921875,1879.3438406559496,1849.5545896151168,1879.3438406559496,994230
2019-03-26,1878.6409912109375,1884.1059113277945,1845.5174876773608,1869.2399214632635,1098830
2019-03-27,1842.8070068359375,1887.6906956654232,1832.3954084703662,1880.310468763494,1175880
2019-03-28,1836.2039794921875,1871.4362692357565,1825.8408599665174,1847.1865867060123,1255610
2019-04-01,1761.4696044921875,1826.5131309942644,1755.9432294271414,1826.5131309942644,1953970
2019-04-02,1808.4840087890625,1861.8637686984039,1783.6632098060943,1784.4539789576613,3146450
2019-04-03,1775.0264892578125,1799.0388220045897,1767.075039083481,1792.3614185623103,1232650
2019-04-04,1800.2296142578125,1809.9337779355901,1750.276230503715,1778.3038672532207,1675580
2019-04-05,1843.347412109375,1847.6570134661035,1809.9426926188892,1810.373202296006,1276880
2019-04-08,1811.045166015625,1861.6837841792255,1804.9785620460777,1855.9728279496367,865240
2019-04-09,1840.4302978515625,1847.1867469145304,1788.4079138098064,1818.6319656819985,802560
2019-04-10,1842.771728515625,1852.1069449721379,1814.3267748422509,1831.0203383880148,835500
2019-04-11,1844.9154052734375,1851.5708222988192,1828.4196151523845,1836.2919136289213,976450
2019-04-12,1876.80908203125,1882.858311083559,1836.7356476734847,1847.476724073801,1303510
2019-04-15,1874.2432861328125,1894.2798925604807,1867.1309761913487,1876.8834016667734,646040
2019-04-16,1868.8487548828125,1892.6810131485154,1862.6502312733653,1891.6443150620546,617190
2019-04-18,1847.177978515625,1886.368515397508,1840.6456861084725,1878.2896486543107,694610
2019-04-22,1792.436279296875,1844.621256812927,1787.5292843459242,1831.899020821456,615220
2019-04-23,1784.884521484375,1805.4526709580095,1775.1890458502062,1805.4526709580095,731720
2019-04-24,1803.9195556640625,1808.1763883305075,1769.517612292343,1792.361434496713,804610
2019-04-25,1787.107421875,1813.3601430017468,1783.5753982609772,1802.0656469873686,910660
2019-04-26,1786.2684326171875,1796.9787277663045,1772.5929405444701,1788.0564312395818,637860
2019-04-30,1789.5762939453125,1792.3615217835188,1770.3963070557797,1780.9396101250945,650900
2019-05-02,1806.867431640625,1812.569593035645,1744.9167289233112,1756.3386410461728,1095340
2019-05-03,1788.1748046875,1809.933557632877,1787.0897360316853,1807.3856787174345,523280
2019-05-06,1787.9598388671875,1799.8957032622905,1774.7016641409864,1774.7895035570923,550680
2019-05-07,1788.2496337890625,1808.167729642789,1780.9440546579708,1798.5118295727293,489780
2019-05-08,1786.786865234375,1798.5118717009464,1779.1824817754843,1781.818307674411,430210
2019-05-09,1788.926025390625,1800.3435390345246,1777.214212207588,1784.8932422378912,437180
2019-05-10,1788.3199462890625,1793.9034867205385,1783.6632778592925,1791.4829157639888,547550
2019-05-13,1647.544921875,1767.8483398939848,1634.2119934896702,1761.6102402939725,3429730
2019-05-14,1689.643310546875,1701.5484994703995,1599.5068881442012,1608.7322780511026,3745110
2019-05-15,1757.01953125,1772.061306163964,1689.652174069391,1693.5180733526117,2171650
2019-05-16,1784.0367431640625,1790.6131156434342,1715.4832859215799,1761.6102372715839,1266530
2019-05-17,1839.5428466796875,1845.0781239523565,1761.979358294795,1774.7894335160763,1310990
2019-05-20,1871.1903076171875,1898.6732107441044,1851.5490292540578,1884.6154729505338,1117100
2019-05-21,1836.44580078125,1878.0259104952638,1828.5647072622548,1866.1689842995702,603260
2019-05-22,1864.8160400390625,1871.4362784787966,1822.805207694172,1840.684978128206,744680
2019-05-23,1785.43359375,1902.0995521049824,1770.330364351661,1876.7957976276973,1470400
2019-05-24,1831.9559326171875,1849.2513938561144,1787.9684458948534,1805.5406173532795,1094940
2019-05-27,1835.1805419921875,1858.2219227385829,1824.4306718961543,1837.1704959955978,662950
2019-05-28,1826.6361083984375,1849.4711377614678,1818.7198361834862,1849.4711377614678,917320
2019-05-29,1794.4483642578125,1838.6863961469019,1788.9042921251603,1834.5348844214764,689320
2019-05-30,1747.6842041015625,1801.138717807013,1741.4021315710713,1794.118644131245,1347270
2019-05-31,1752.62646484375,1780.3465014006879,1739.6450015258981,1766.0032591247752,1118550
2019-06-03,1752.6614990234375,1763.3673959050575,1718.562756271781,1744.9166159778,1577560
2019-06-04,1761.03466796875,1788.8470479842558,1738.1952424885212,1756.6899957822911,1279550
2019-06-06,1764.5799560546875,1788.8471214574627,1753.3469149986615,1773.9107751584563,1262960
2019-06-07,1757.01953125,1776.537791232158,1744.0380677587207,1769.8603873349732,722710
2019-06-10,1768.7666015625,1785.3986029985392,1759.4181927952698,1774.350142289896,426260
2019-06-11,1768.81494140625,1776.630182729804,1757.2525284660421,1772.7292116942285,429390
2019-06-12,1766.5260009765625,1774.7893404531683,1754.8405711554865,1770.5719763473212,418760
2019-06-13,1771.455078125,1774.7894364938963,1748.4311775360661,1761.434628189408,597650
2019-06-14,1736.75,1770.3919581172727,1722.0728817284476,1757.217226253518,480610
2019-06-17,1733.3060302734375,1756.3387264630928,1725.411744265607,1735.256515774944,486340
2019-06-18,1733.657470703125,1751.769979548984,1719.0680838925673,1735.2520939312556,550870
2019-06-19,1738.8280029296875,1765.9155767048237,1730.8590695314201,1742.280982172998,847590
2019-06-20,1739.0430908203125,1748.3432355751524,1723.830034731773,1748.3432355751524,716150
2019-06-21,1732.5458984375,1748.3432638077477,1726.7513932446968,1738.7664086764064,546620
2019-06-24,1677.9842529296875,1742.364320453197,1661.6333595232954,1737.0970661119816,1240360
2019-06-25,1679.622802734375,1691.22478978703,1654.5121022521566,1678.1906665373415,1296560
2019-06-26,1682.697998046875,1697.9110538870189,1673.7581129865316,1673.7581129865316,816920
2019-06-27,1711.4681396484375,1728.135319461497,1682.6981046211295,1682.6981046211295,1183940
2019-06-28,1681.5513916015625,1725.1303556730554,1676.385168866547,1717.6357987530982,760460
2019-07-01,1724.2958984375,1735.2433281422675,1686.9286459714053,1694.8361239993965,1021530
2019-07-02,1769.2935791015625,1782.5913281526541,1695.6266705979042,1695.7145100029406,1431860
2019-07-03,1726.474853515625,1770.3964929160443,1720.3685660810715,1766.0034495093048,922730
2019-07-04,1741.876708984375,1765.5639622589,1725.2358065125588,1735.6604888566078,1051340
2019-07-05,1726.035400390625,1761.1709499488793,1720.4782438609411,1752.7627127840663,753860
2019-07-08,1672.2469482421875,1735.5682210216253,1656.2650024994377,1729.1016747829237,991410
2019-07-09,1672.7476806640625,1695.310395682398,1645.6382306976009,1685.1712185763645,1295640
2019-07-10,1647.47900390625,1693.162254868379,1638.6050782839118,1668.4777714000797,831210
2019-07-11,1672.35693359375,1675.2124117331139,1653.541494856336,1661.8838797764888,695000
2019-07-12,1665.4290771484375,1678.142518551109,1657.0559109881633,1667.9638716793959,833100
2019-07-15,1654.7581787109375,1686.7527434994981,1650.6858194862948,1678.142336776486,500530
2019-07-16,1672.98046875,1678.1422938685748,1638.9607721770858,1657.9342976596863,602940
2019-07-17,1619.6005859375,1673.7492334059582,1608.7366001496484,1673.7492334059582,940840
2019-07-18,1617.1669921875,1632.5602322528207,1612.2468054034318,1628.0617604428116,683830
2019-07-19,1551.97412109375,1628.9402064870724,1537.5649198232884,1627.7979725029682,1841410
2019-07-22,1499.9605712890625,1563.4049717454238,1491.4337133670413,1557.3337562391932,2334480
2019-07-23,1502.2845458984375,1527.1404183398906,1497.2897116123434,1511.2068422687148,1131400
2019-07-24,1449.852294921875,1518.3441408896088,1431.615259703968,1513.5293630663737,2450250
2019-07-25,1574.973876953125,1602.0907781686014,1551.105160192639,1552.2789279638246,2059680
2019-07-26,1646.809814453125,1674.6309754240178,1564.4671130468462,1575.649312252991,2300560
2019-07-29,1570.3026123046875,1628.9346205311053,1565.6936293810743,1628.9346205311053,1531070
2019-07-30,1548.7862548828125,1602.5842358838108,1534.0013429497599,1580.066609848971,1821980
2019-07-31,1566.4649658203125,1576.3966662615132,1530.8727270892578,1557.2613873346704,1548640
2019-08-01,1587.0423583984375,1605.9379728227216,1512.6095732043425,1528.324025448831,2568280
2019-08-02,1619.8319091796875,1639.6522688090324,1545.8878100283027,1547.4880410086928,3003440
2019-08-05,1581.4080810546875,1616.6696544285041,1565.6984252183863,1616.6696544285041,1434390
2019-08-06,1629.9647216796875,1642.7854006978944,1572.4010905185041,1572.4010905185041,1321600
2019-08-07,1576.87109375,1645.679150347191,1565.693689801746,1611.3038375432511,1540540
2019-08-08,1610.8870849609375,1619.3527169123904,1561.209279137718,1596.3559919384866,1341470
2019-08-09,1685.204833984375,1704.4359114337342,1603.077814411934,1603.077814411934,1828890
2019-08-13,1594.918701171875,1691.2031002852357,1585.6002599400026,1686.4265028912585,1474660
2019-08-14,1588.177734375,1628.4555723532112,1571.5530421578114,1628.4555723532112,2161060
2019-08-16,1590.6497802734375,1602.1049804144968,1550.6881095960223,1590.6066193110435,1728990
2019-08-19,1565.47314453125,1609.7705621792961,1561.151667771819,1609.7705621792961,1350470
