Price,Close,High,Low,Open,Volume
Ticker,DABUR.NS,DABUR.NS,DABUR.NS,DABUR.NS,DABUR.NS
Date,,,,,
2019-01-01,400.9574890136719,412.45823096962965,400.24463346689146,410.3671764299404,1617567
2019-01-02,395.7774353027344,404.28419065611604,390.6448806285566,401.05258430616476,2550167
2019-01-03,401.1001281738281,404.9020251233431,393.0210971561088,395.7774666432728,3271824
2019-01-04,398.48626708984375,404.37921812214273,396.2526471498836,402.05054497079044,1831799
2019-01-07,399.6268615722656,404.66436288415167,397.6783721922579,400.6723599155928,1394010
2019-01-08,395.7774353027344,401.5753334928593,393.4963031148964,401.4327681697762,1412597
2019-01-09,400.62481689453125,405.6623178176661,396.34768361807716,398.9614872870213,2975792
2019-01-10,400.29217529296875,402.9059791585963,397.82093674605073,401.5753211736924,1089796
2019-01-11,400.7674255371094,401.8129529189722,397.9160030444851,401.52782227217756,929656
2019-01-14,412.030517578125,413.7413593358441,399.959485045457,401.4327372870953,3145076
2019-01-15,404.9970397949219,416.3076763417869,403.0010382852001,413.36120068516595,4594571
2019-01-16,402.85845947265625,406.2326309786792,398.5813259548519,404.094064219777,1621386
2019-01-17,399.4842834472656,405.61485346769877,396.9655326891806,404.7594325129376,2118185
2019-01-18,403.0960693359375,405.8524384091455,397.82092070701276,402.0030299283407,2301927
2019-01-21,406.94549560546875,412.26815656932666,403.14359906073724,404.04656109257843,2235926
2019-01-22,411.887939453125,412.8384135125501,402.2406335511929,406.9930038483187,1553097
2019-01-23,409.3216857910156,414.4542403859229,407.4207374961486,411.8879775915538,1537391
2019-01-24,409.0840148925781,412.315620778982,406.23259281525134,408.13354086680255,1179389
2019-01-25,408.703857421875,416.73537505972524,406.9930156676922,410.7473709077509,1819072
2019-01-28,406.2326354980469,410.6048222772326,401.57531808363603,409.4167296201804,1613234
2019-01-29,402.1930847167969,405.0445068402852,396.91796539080974,403.95146749418114,1910592
2019-01-30,409.79693603515625,411.0325698702332,403.3337232273553,404.47427483723015,1919495
2019-01-31,421.6777648925781,426.00243879724945,406.04248571583383,412.9334218987035,10969400
2019-02-01,429.4717102050781,433.4161717564529,419.4917325659493,427.7133273912365,6034606
2019-02-04,425.28961181640625,435.31710112411355,421.6302810384749,429.61425700458364,2210541
2019-02-05,426.8103942871094,430.5647786838398,422.2006179851641,425.71735484444366,1499771
2019-02-06,431.2301025390625,432.46570724300426,424.9569677976009,428.6638109155932,1491252
2019-02-07,437.02801513671875,439.1190699293264,430.5648023333006,431.0400394219687,2064428
2019-02-08,429.5667724609375,441.2100799518464,427.28561146186667,437.12302400031695,1970613
