Price,Close,High,Low,Open,Volume
Ticker,^CNXAUTO,^CNXAUTO,^CNXAUTO,^CNXAUTO,^CNXAUTO
Date,,,,,
2019-01-01,9182.4501953125,9244.0,9139.4501953125,9244.0,311400
2019-01-02,8902.650390625,9121.9501953125,8885.2998046875,9121.9501953125,800700
2019-01-03,8767.349609375,8959.349609375,8755.75,8900.0498046875,579900
2019-01-04,8809.349609375,8871.099609375,8754.0498046875,8807.400390625,650400
2019-01-07,8820.0,8901.599609375,8809.900390625,8891.900390625,748500
2019-01-08,8859.650390625,8882.2998046875,8781.7998046875,8813.900390625,698400
2019-01-09,8907.099609375,8925.599609375,8827.900390625,8893.900390625,639200
2019-01-10,8933.349609375,8964.150390625,8908.0498046875,8924.650390625,652200
2019-01-11,8862.349609375,8950.2998046875,8816.900390625,8942.0498046875,555300
2019-01-14,8849.7001953125,8863.5498046875,8752.099609375,8859.099609375,426200
2019-01-15,8888.400390625,8902.2998046875,8845.5,8877.349609375,399800
2019-01-16,8866.75,8916.400390625,8856.75,8894.099609375,360400
2019-01-17,8878.2001953125,8920.7998046875,8850.25,8893.2001953125,343900
2019-01-18,8844.7998046875,8907.650390625,8806.0498046875,8898.9501953125,304500
2019-01-21,8746.849609375,8867.2001953125,8725.25,8859.650390625,338000
2019-01-22,8675.150390625,8726.0498046875,8580.0,8726.0498046875,666700
2019-01-23,8612.25,8693.7001953125,8594.2001953125,8679.849609375,447000
2019-01-24,8537.25,8632.099609375,8510.400390625,8623.2001953125,639400
2019-01-25,8259.7998046875,8587.7001953125,8241.099609375,8538.7001953125,597300
2019-01-28,8143.0,8264.599609375,8092.85009765625,8259.5498046875,552400
2019-01-29,8120.4501953125,8178.75,8059.4501953125,8127.64990234375,583500
2019-01-30,8118.39990234375,8176.4501953125,8080.2001953125,8149.25,464400
2019-01-31,8218.400390625,8236.5498046875,8083.89990234375,8145.14990234375,820500
2019-02-01,8441.25,8657.7998046875,8254.150390625,8265.5,1144200
2019-02-04,8395.5498046875,8446.0,8325.75,8444.75,546600
2019-02-05,8468.2998046875,8489.7001953125,8408.25,8410.599609375,540400
2019-02-06,8567.400390625,8593.5498046875,8441.5,8490.2001953125,412600
2019-02-07,8736.7001953125,8756.25,8581.0,8584.599609375,829800
2019-02-08,8420.349609375,8643.849609375,8399.900390625,8639.9501953125,1731600
2019-02-11,8320.2998046875,8365.900390625,8257.900390625,8364.5498046875,816500
2019-02-12,8278.099609375,8344.849609375,8259.2001953125,8312.5,543500
2019-02-14,8223.349609375,8268.349609375,8166.7001953125,8178.10009765625,807000
2019-02-15,8132.5498046875,8236.7001953125,8057.14990234375,8228.2001953125,990500
2019-02-18,8067.7001953125,8156.89990234375,8035.5498046875,8156.89990234375,465600
2019-02-19,8073.39990234375,8162.2001953125,8061.85009765625,8089.2998046875,651900
2019-02-20,8121.5,8132.4501953125,8072.89990234375,8111.7001953125,633500
2019-02-21,8156.75,8175.5498046875,8056.4501953125,8136.64990234375,557100
2019-02-22,8278.9501953125,8289.25,8156.5,8178.2001953125,734300
2019-02-25,8371.4501953125,8381.400390625,8307.5498046875,8309.900390625,913800
2019-02-26,8399.099609375,8442.0,8234.5498046875,8315.9501953125,954200
2019-02-27,8420.0498046875,8533.150390625,8343.650390625,8443.2998046875,837800
2019-02-28,8355.150390625,8486.2001953125,8343.7998046875,8486.2001953125,995500
