Price,Close,High,Low,Open,Volume
Ticker,^CNXFMCG,^CNXFMCG,^CNXFMCG,^CNXFMCG,^CNXFMCG
Date,,,,,
2019-01-01,30398.44921875,30613.19921875,30259.650390625,30579.099609375,10324000
2019-01-02,30195.19921875,30455.099609375,29985.80078125,30347.599609375,23768000
2019-01-03,30189.19921875,30479.30078125,30122.099609375,30187.80078125,20217000
2019-01-04,30190.19921875,30350.30078125,30085.5,30256.099609375,20340000
2019-01-07,30282.599609375,30491.19921875,30241.900390625,30440.900390625,20899000
2019-01-08,30272.0,30385.099609375,30159.69921875,30341.849609375,18731000
2019-01-09,30577.349609375,30640.69921875,30331.05078125,30404.69921875,24818000
2019-01-10,30571.650390625,30774.30078125,30519.25,30614.55078125,19305000
2019-01-11,30759.05078125,30849.25,30611.94921875,30704.44921875,25794000
2019-01-14,30716.400390625,30753.0,30456.80078125,30735.099609375,16658000
2019-01-15,31011.05078125,31045.900390625,30759.900390625,30797.19921875,20150000
2019-01-16,30783.849609375,31040.849609375,30691.0,30995.25,17922000
2019-01-17,30737.25,30912.80078125,30514.94921875,30822.30078125,21371000
2019-01-18,30540.349609375,30855.94921875,30461.30078125,30727.80078125,21911000
2019-01-21,30485.0,30727.400390625,30403.0,30626.69921875,19605000
2019-01-22,30507.599609375,30592.400390625,30205.349609375,30486.30078125,22864000
2019-01-23,29991.400390625,30854.55078125,29869.75,30620.0,51981000
2019-01-24,30036.75,30264.55078125,29983.400390625,30118.75,42081000
2019-01-25,29938.05078125,30331.099609375,29856.25,30125.80078125,22428000
2019-01-28,29565.55078125,29991.30078125,29533.5,29951.80078125,19922000
2019-01-29,29758.900390625,29842.099609375,29488.69921875,29561.55078125,17782000
2019-01-30,29463.849609375,29857.55078125,29337.349609375,29853.900390625,30784000
2019-01-31,29800.55078125,29872.75,29450.599609375,29571.80078125,47908000
2019-02-01,30199.900390625,30536.599609375,29872.19921875,29936.099609375,43444000
2019-02-04,30008.900390625,30299.349609375,29889.19921875,30233.0,19319000
2019-02-05,29759.849609375,30053.650390625,29695.349609375,30023.94921875,37339000
2019-02-06,30029.0,30074.650390625,29805.599609375,29883.349609375,28549000
2019-02-07,30266.30078125,30319.5,30034.44921875,30091.650390625,22339000
2019-02-08,29769.05078125,30315.44921875,29699.900390625,30163.19921875,16403000
2019-02-11,29728.5,29842.94921875,29320.849609375,29744.5,24712000
2019-02-12,29524.0,29817.900390625,29483.5,29767.599609375,20200000
2019-02-14,29451.44921875,29597.30078125,29399.94921875,29423.80078125,21880000
2019-02-15,29309.099609375,29568.30078125,29003.25,29542.75,51245000
2019-02-18,28965.150390625,29348.650390625,28887.69921875,29238.349609375,56594000
2019-02-19,29009.69921875,29267.69921875,28913.19921875,28913.19921875,55365000
2019-02-20,29053.400390625,29175.69921875,28907.599609375,29124.349609375,19554000
2019-02-21,29166.349609375,29229.30078125,29024.75,29092.55078125,21947000
2019-02-22,29241.19921875,29282.0,29121.0,29214.599609375,22015000
2019-02-25,29327.05078125,29362.69921875,29165.599609375,29294.44921875,42227000
2019-02-26,29253.650390625,29391.30078125,29095.05078125,29171.0,28241000
2019-02-27,29171.94921875,29547.849609375,29055.599609375,29340.849609375,30001000
