Date,Buy Price,Target,Stop Loss,Outcome,Capital After Trade
2020-11-23,2575.32,2652.58,2549.57,No Hit,1000000.0
2020-11-25,2553.63,2630.23,2528.09,No Hit,1000000.0
2020-12-01,2577.73,2655.06,2551.95,No Hit,1000000.0
2021-05-10,2979.2,3068.58,2949.41,Stop Loss Hit,997020.8
2021-08-03,3133.27,3227.27,3101.94,No Hit,997020.8
2022-02-15,3654.97,3764.62,3618.42,No Hit,997020.8
2022-02-17,3622.8,3731.49,3586.58,No Hit,997020.8
2022-02-18,3632.09,3741.05,3595.77,Stop Loss Hit,993388.71
2023-01-05,3207.94,3304.18,3175.86,Stop Loss Hit,990180.77
2023-01-09,3216.51,3313.01,3184.35,Stop Loss Hit,986964.26
2023-01-11,3224.99,3321.74,3192.74,No Hit,986964.26
2023-09-04,3353.25,3453.85,3319.72,No Hit,986964.26
2023-11-16,3439.96,3543.16,3405.56,No Hit,986964.26
